pag_pk,pag_fecha_planificada,pag_importe_planificado,pag_fecha_real,pag_importe_real,pag_confirmar,mon_pk,mon_nombre
139,11/22/2011 0:00,36356,11/22/2011 0:00,36356,NULL,1,Pesos
140,12/13/2011 0:00,72712,12/13/2011 0:00,72712,NULL,1,Pesos
141,12/20/2011 0:00,109068,12/20/2011 0:00,109068,NULL,1,Pesos
142,10/1/2012 0:00,145424,NULL,0,NULL,1,Pesos
143,11/22/2011 0:00,36356,11/22/2011 0:00,36356,NULL,1,Pesos
144,12/20/2011 0:00,72712,12/20/2011 0:00,72712,NULL,1,Pesos
145,12/21/2011 0:00,109068,12/21/2011 0:00,109068,NULL,1,Pesos
146,10/1/2012 0:00,145424,NULL,0,NULL,1,Pesos
132,11/22/2011 0:00,36356,11/22/2011 0:00,36356,NULL,1,Pesos
133,12/13/2011 0:00,72712,12/13/2011 0:00,72712,NULL,1,Pesos
136,12/20/2011 0:00,109068,12/20/2011 0:00,109068,NULL,1,Pesos
137,10/15/2012 0:00,145424,NULL,0,NULL,1,Pesos
131,11/22/2011 0:00,36356,11/22/2011 0:00,36356,NULL,1,Pesos
134,12/20/2011 0:00,72712,12/20/2011 0:00,72712,NULL,1,Pesos
135,12/21/2011 0:00,109068,12/21/2011 0:00,109068,NULL,1,Pesos
138,10/15/2012 0:00,145424,NULL,0,NULL,1,Pesos
54,5/9/2012 0:00,488952,6/7/2012 0:00,488952,NULL,1,Pesos
99,7/9/2012 0:00,1222380,10/22/2012 0:00,1222380,NULL,1,Pesos
100,8/9/2012 0:00,1222380,11/6/2012 0:00,1222380,NULL,1,Pesos
101,8/9/2012 0:00,1222380,12/12/2012 0:00,1222380,NULL,1,Pesos
102,9/10/2012 0:00,733428,12/12/2012 0:00,733428,NULL,1,Pesos
185,1/2/2012 0:00,328043.38,1/19/2012 0:00,328043.38,NULL,1,Pesos
186,3/5/2012 0:00,328043.38,8/20/2012 0:00,328043.38,NULL,1,Pesos
187,8/30/2012 0:00,656086.75,9/7/2012 0:00,656086.75,NULL,1,Pesos
476,9/28/2012 0:00,328043,10/11/2012 0:00,328043.38,NULL,1,Pesos
